Containers,Time,Data
5,81.13057684898376,100000
4,76.61474514007568,100000
3,78.59702754020691,100000
2,97.08367681503296,100000
1,141.45138716697693,100000


5,4.754157304763794,10000
4,4.9676353931427,10000
3,5.189316987991333,10000
2,7.389517307281494,10000
1,9.541910171508789,10000


5,0.40261316299438477,1000
4,0.44243931770324707,1000
3,0.5680725574493408,1000
2,0.8291647434234619,1000
1,1.232679843902588,1000


5,0.11422944068908691,100
4,0.1049642562866211,100
3,0.0964665412902832,100
2,0.1603405475616455,100
1,0.14221692085266113,100


5,0.06271195411682129,10
4,0.06413817405700684,10
3,0.08765196800231934,10
2,0.09290170669555664,10
1,0.06895875930786133,10
