Containers,Time,Data
5,45.861167430877686,100000
4,52.02913761138916,100000
3,51.31393599510193,100000
2,74.6985228061676,100000
1,98.10660195350647,100000


5,3.177246570587158,10000
4,3.2318477630615234,10000
3,4.476778507232666,10000
2,6.467810153961182,10000
1,9.47679877281189,10000


5,0.34710693359375,1000
4,0.31990981101989746,1000
3,0.3914453983306885,1000
2,0.7804458141326904,1000
1,0.8422458171844482,1000
5,274.64715218544006,100000
4,273.8941321372986,100000
5,164.8371558189392,100000
4,206.36257648468018,100000
